id,price,team_count,client_id,begin_at,closed_at,service_type,is_accepted
1,51,3,35,2007-07-30,2014-09-13,poster,1
2,49,3,65,2010-08-04,2011-03-10,video,0
3,89,5,23,2009-09-26,2014-12-23,logo,0
4,81,5,62,2010-03-28,2020-08-09,text,1
5,63,2,19,2009-08-05,2016-06-05,media care,0
6,31,2,94,2009-07-20,2026-01-20,logo,1
7,27,3,1,2009-04-11,2024-06-24,media care,1
8,50,1,2,2008-12-14,2014-02-08,poster,1
9,55,5,57,2006-10-29,2019-08-09,media care,1
10,49,2,11,2010-07-02,2013-03-18,poster,0
11,44,3,46,2010-01-30,2024-03-30,poster,1
12,49,4,84,2010-01-22,2013-11-17,video,1
13,49,5,62,2010-08-10,2012-03-14,video,0
14,58,5,96,2008-12-08,2027-10-25,poster,0
15,74,1,35,2009-12-10,2022-05-28,media care,0
16,78,4,22,2007-12-13,2025-01-21,poster,1
17,34,3,82,2010-05-25,2028-02-28,logo,0
18,30,2,76,2009-10-17,2014-02-01,poster,0
19,47,5,27,2010-03-14,2021-04-05,video,0
20,26,5,18,2008-12-11,2012-12-16,media care,1
21,76,4,10,2008-06-11,2024-02-19,text,1
22,96,3,84,2010-08-01,2026-03-17,text,0
23,80,4,8,2010-07-26,2020-10-08,poster,1
24,64,1,96,2009-02-05,2027-04-13,logo,1
25,34,1,10,2008-11-13,2011-03-23,poster,0
26,20,5,68,2009-01-24,2029-07-31,poster,1
27,69,5,27,2007-09-20,2023-10-17,text,1
28,83,2,23,2010-06-26,2027-10-15,media care,1
29,95,3,92,2010-06-11,2022-10-04,media care,1
30,70,2,51,2009-05-29,2017-01-07,media care,0
31,96,1,39,2007-06-20,2025-09-23,poster,0
32,74,1,31,2007-08-27,2029-05-19,video,0
33,93,3,35,2007-07-31,2019-06-22,logo,1
34,59,5,70,2008-03-14,2029-12-05,text,1
35,33,1,43,2006-07-11,2010-10-02,logo,1
36,80,3,69,2009-06-05,2014-05-07,media care,1
37,38,1,94,2009-02-28,2021-07-09,media care,0
38,77,2,62,2008-09-14,2026-01-07,text,1
39,71,4,1,2007-08-24,2020-09-06,video,0
40,35,3,63,2008-05-05,2016-04-26,text,0
41,58,3,93,2010-02-28,2022-11-08,media care,1
42,96,1,43,2008-02-13,2026-04-24,logo,0
43,91,3,32,2010-08-07,2020-11-02,text,0
44,33,2,43,2009-11-22,2024-07-07,logo,1
45,41,3,16,2010-07-21,2021-05-03,logo,1
46,61,5,24,2009-08-27,2026-04-18,logo,1
47,69,1,33,2009-03-08,2025-12-19,text,1
48,51,4,53,2010-07-20,2025-03-20,video,1
49,31,5,17,2010-02-12,2017-02-17,poster,0
50,27,3,26,2010-07-21,2018-11-30,logo,0
51,34,4,67,2007-07-06,2016-03-18,video,0
52,52,2,44,2008-07-25,2009-10-06,media care,1
53,27,3,69,2009-12-08,2012-10-03,poster,1
54,20,5,66,2009-06-05,2019-12-18,text,1
55,20,5,58,2010-07-27,2011-02-15,text,1
56,45,1,57,2010-04-04,2013-08-22,poster,0
57,70,4,69,2010-01-12,2016-10-29,poster,0
58,65,3,21,2007-07-16,2029-01-03,media care,0
59,70,5,50,2010-03-21,2011-10-15,poster,1
60,53,1,24,2008-08-19,2020-07-19,media care,0
61,32,4,45,2009-07-13,2028-07-04,logo,0
62,53,5,87,2010-03-17,2026-10-21,video,0
63,96,1,59,2010-07-09,2011-08-15,poster,1
64,25,5,36,2009-05-24,2022-02-12,poster,1
65,24,3,52,2008-02-17,2017-07-19,logo,1
66,93,4,78,2009-04-27,2013-08-28,poster,1
67,93,2,76,2010-06-11,2028-02-20,logo,1
68,48,1,64,2009-07-07,2017-02-08,video,1
69,91,4,62,2010-08-06,2024-11-13,media care,0
70,75,1,100,2009-05-01,2011-05-11,text,1
71,41,1,83,2007-10-29,2029-08-20,poster,0
72,83,3,23,2009-12-22,2023-03-18,media care,1
73,35,1,75,2010-05-23,2017-10-22,logo,1
74,67,1,35,2010-04-30,2017-04-26,text,1
75,94,3,34,2009-04-16,2021-04-18,poster,1
76,75,2,76,2008-07-27,2018-02-01,media care,0
77,48,3,62,2009-03-01,2017-08-20,logo,0
78,30,1,100,2010-05-06,2013-01-11,video,0
79,45,1,73,2008-05-27,2026-02-11,text,0
80,98,1,96,2008-05-20,2010-01-09,logo,1
81,27,1,32,2009-03-30,2010-05-13,logo,1
82,44,1,48,2010-07-06,2016-07-04,logo,0
83,51,2,4,2010-05-04,2025-11-03,media care,0
84,100,2,34,2007-09-27,2010-07-02,poster,1
85,55,2,43,2010-06-01,2023-10-14,media care,1
86,70,5,33,2009-06-20,2016-07-25,text,0
87,63,3,31,2008-12-22,2010-03-14,media care,1
88,79,2,64,2010-04-30,2016-06-30,poster,0
89,89,3,39,2008-01-10,2024-04-17,media care,1
90,44,2,92,2007-06-30,2014-05-15,text,1
91,31,5,77,2010-06-16,2021-08-19,logo,1
92,47,4,49,2008-09-11,2010-11-14,poster,0
93,59,4,96,2010-08-20,2014-03-05,poster,0
94,71,4,70,2008-07-13,2029-07-17,poster,1
95,95,1,38,2009-01-27,2021-12-24,video,1
96,20,3,36,2009-10-21,2019-02-25,logo,0
97,56,4,19,2010-05-30,2029-11-04,video,1
98,60,3,29,2010-04-10,2018-01-17,media care,0
99,37,3,90,2008-04-06,2012-01-23,media care,1
100,42,2,69,2008-04-19,2016-02-29,video,1
